"pid","test","drawing","input","stdev_speed","max_speed","entropy_speed","drawingtime","stdev_pressure","max_pressure","entropy_pressure","entropy_x","entropy_y","stdev_dx","max_dx","entropy_dx","stdev_dy","max_dy","entropy_dy","fulltestname","time","log_time","ftest"
10,0,"loops","pen",0.794356166689614,5.16666666666667,2.44661387178304,2.398,0.602447550627,3.22292073567708,4.39801871076092,6.70766510544996,6.30642133527932,9.67468827485747,27,5.04487121556796,20.1797980288004,36.5,5.7932568967518,"PretestAvg",18.905,2.99097095645228,"0"
10,0,"loops","touch",0.797727594599758,2.6875,2.57358229337621,2.332,0,0,0,6.61080821096257,6.35542326373376,12.7660988321675,25.5,5.21587703325699,18.8782013805315,37.5,5.67529983144387,"PretestAvg",18.905,2.99097095645228,"0"
10,0,"spiral","pen",1.39291247954365,4.22727272727273,3.44115032674215,3.515,0.584673001576631,3.59421412150065,4.25200306690468,6.93398646401661,6.97657712150678,20.3728426286561,59.5,5.91486240712612,19.6604624776156,48,5.9564503302941,"PretestAvg",18.905,2.99097095645228,"0"
10,0,"spiral","touch",1.68227217051215,6.9375,3.64996572655359,3.214,0,0,0,6.86190946135177,6.91855947690156,27.0053544315731,74,6.2512572138566,22.766640167145,50,6.12649593995125,"PretestAvg",18.905,2.99097095645228,"0"
10,1,"loops","pen",0.881804974258498,3.5,2.7690586470139,2.287,0.479883766479993,2.61458333333333,4.17980503709759,6.73168060768726,6.38866977097378,12.8755922734883,33,5.39857056905927,20.461301106197,36.5,5.78541693391022,"1PostTestAvg",15.995,2.83291918314808,"1"
10,1,"loops","touch",0.723732033870533,2.16666666666667,2.51288242824946,2.624,0,0,0,6.8340215371245,6.55871060938351,11.7887684555644,27.5,5.28484722426664,22.2176635155052,40,5.7325581160735,"1PostTestAvg",15.995,2.83291918314808,"1"
10,1,"spiral","pen",1.37749691628359,4.54166666666667,3.41143734061531,2.861,0.587399902644748,3.38984171549479,4.26579253404883,6.6906799729201,6.71424241815062,21.9432711938686,68.5,6.02560655675406,21.0517103029017,47,5.94701706226723,"1PostTestAvg",15.995,2.83291918314808,"1"
10,1,"spiral","touch",1.21555541875707,3.25,3.24888820937411,3.222,0,0,0,6.83905576232333,6.82828722145097,20.0594912185248,52,5.89966660171157,19.5585472302891,42,5.87791493545421,"1PostTestAvg",15.995,2.83291918314808,"1"
10,2,"loops","pen",0.853829908262676,5.66666666666667,2.49607978442034,2.253,0.574435721623176,2.85520833333333,4.34192149387881,6.76942222888276,6.34413272153612,11.1330703525331,30,5.15435234363294,19.7958789857263,46.5,5.68105104349484,"2PostTestAvg",15.13,2.78068089213712,"2"
10,2,"loops","touch",0.84293831254938,1.85294117647059,2.58426051102386,2.349,0,0,0,6.72445411645328,6.51809205348596,13.8564197882772,31.5,5.40336164223788,24.6069321136724,46,5.83512175332688,"2PostTestAvg",15.13,2.78068089213712,"2"
10,2,"spiral","pen",1.59759820286519,7.8,3.57898602324721,2.911,0.502949913893227,3.22864176432292,4.12462368885984,6.82806931571278,6.8757672089469,22.6214834053414,55,6.0255860302494,23.9158771629552,63,6.07313787501084,"2PostTestAvg",15.13,2.78068089213712,"2"
10,2,"spiral","touch",1.49772922237752,3.5625,3.52576264037423,3.58,0,0,0,7.12026775089576,7.20489691207825,24.6160660175124,54.5,6.29546979984013,23.8936388602195,48,6.15988567149104,"2PostTestAvg",15.13,2.78068089213712,"2"
10,3,"loops","pen",0.867045845964379,4.5,2.6613232443278,2.24,0.545963617766586,2.81041666666667,4.1961540131674,6.82222173935551,6.156162703407,12.3129139264429,38,5.31579006218687,18.2864677040045,38,5.59945127253272,"3PostTestAvg",14.63,2.74919214443339,"3"
10,3,"loops","touch",0.729257161654051,2.8125,2.48314242262833,2.515,0,0,0,6.79000369233758,6.37226903221839,11.6731977149212,26,5.22449936795577,23.0299914015609,44,5.74699127479743,"3PostTestAvg",14.63,2.74919214443339,"3"
10,3,"spiral","pen",1.50296834288094,4.83333333333333,3.54687098621758,3.215,0.540896743969773,3.66979166666667,4.28235341754198,6.96736114698309,6.9648471726463,23.1922028107147,58,6.14418419367529,25.046906299972,60.5,6.16593585993266,"3PostTestAvg",14.63,2.74919214443339,"3"
10,3,"spiral","touch",1.48770105514746,3.58823529411765,3.52123698849432,3.198,0,0,0,6.99484027525283,7.01208242972678,24.6043837777812,61,6.16743428591075,24.8247648389318,52.5,6.14766519846941,"3PostTestAvg",14.63,2.74919214443339,"3"
10,4,"loops","pen",0.792081453983196,2.20833333333333,2.67305204090817,1.97,0.45857049027522,2.3060801188151,3.97935109177231,6.44642060282986,6.08324146085378,12.0754574791462,35.5,5.16378277101129,17.6477738661574,32.5,5.64442708320308,"4PostTestAvg",15.105,2.77912978278316,"4"
10,4,"loops","touch",0.824450844867308,3,2.69688183827307,2.056,0,0,0,6.56248101471825,6.27855690748954,13.2213079582538,33.5,5.3171863999728,22.2209453601419,37,5.6383323797086,"4PostTestAvg",15.105,2.77912978278316,"4"
10,4,"spiral","pen",1.26464790670404,3.66666666666667,3.27055236011113,2.798,0.513944203555774,2.63125,4.11622787491657,6.6753086566114,6.58119100955258,19.7979062501571,41,5.88690112190935,20.6708969701942,49,5.99229022167931,"4PostTestAvg",15.105,2.77912978278316,"4"
10,4,"spiral","touch",1.28215463714465,3.5,3.34828238023285,3.189,0,0,0,6.96013009417322,6.97251537668909,20.9711788973271,53,5.98103694459345,20.9065829076168,51.5,5.98864194949079,"4PostTestAvg",15.105,2.77912978278316,"4"
